service_request_id,requested_datetime,updated_datetime,e,n,service_code,status,detail,year_requested,month_requested,processing_time_days
24890,2020-06-10 20:21:26,2020-06-11 13:38:22,2679984,1248675,Signalisation/Lichtsignal,fixed - council,"Der Fussgängerstreifen über die Badenerstrasse, auf der Höhe Rudenzweg (Pizza Züri) - Aldi ist sehr unübersichtlich. Es ist schwer die Übersicht zu bekommen, da die Strasse eine kleine Kurve macht und zudem die Trams sehr schnell fahren. Autos halten für die Kinder meist nicht, da die Kinder hinter dem Veloweg warten müssen und da kaum gesehen werden. Immer wieder kommt es zu schweren Unfällen auf dem Fussgängerstreifen. Ist es möglich die Situation sicherer zu gestalten für die Fussgänger?",2020,6,0.7200925925925926
24891,2020-06-10 20:46:14,2020-06-11 08:47:02,2682334,1248819,Strasse/Trottoir/Platz,external,"Regenrinne defekt, etwa auf Hüfthöhe läuft das Wasser raus. Bei trockenem Wetter sind Verschmutzungen von dieser Rinne auf dem Trottoir zu sehen. Die Rinne ist an der Grenze zwischen Haus 11 und 9. Falls Stadt nicht zuständig, können Sie bitte den Eigentümer zur Reparatur auffordern.",2020,6,0.5005555555555555
24892,2020-06-10 20:46:15,2020-06-11 08:32:07,2686117,1251511,Signalisation/Lichtsignal,fixed - council,"Grünlicht geht nicht mehr, Richtung Dübendorf.",2020,6,0.49018518518518517
24893,2020-06-10 20:53:53,2020-06-12 14:15:32,2686088,1251506,Strasse/Trottoir/Platz,fixed - council,"Guten Tag, Ich finde es absolut daneben, dass bei der Erstellung der Lärmschutzwand der direkte Zugang so weit verschoben wurde, der Weg zur Bushaltestelle Schürgistrasse ist viel weiter. <br/>  <br/> Zudem finde ich es unverhältnismässig, dass die gelegten Steinplatten entfernt wurden. <br/>  <br/> Hier sollte die Stadt Vernunft walten lassen und den Fussweg entsprechend gewährleisten. <br/>  <br/> Vielen Dank ",2020,6,1.7233680555555555
24894,2020-06-10 21:47:15,2020-06-11 13:32:09,2680555,1247354,Schädlinge,fixed - council,Tigermücke in Wohnung ,2020,6,0.6561805555555555
24931,2020-06-12 17:09:44,2020-06-15 10:22:12,2682975,1251697,Strasse/Trottoir/Platz,fixed - council,Loch im Trottoirs Durchmesser 50 cm,2020,6,2.7169907407407408
24895,2020-06-10 22:31:25,2020-06-11 08:46:15,2682025,1247813,Abfall/Sammelstelle,fixed - council,Einkaufswägeli mit Altreifen darin,2020,6,0.4269675925925926
24896,2020-06-10 22:32:17,2020-06-11 08:47:12,2681812,1247566,Abfall/Sammelstelle,fixed - council,Ein Holztisch,2020,6,0.42702546296296295
24897,2020-06-10 23:34:01,2020-06-11 08:56:41,2683339,1251043,Abfall/Sammelstelle,fixed - council,Leider nun zum x-ten Mal an der Venusstrasse 2 Karton nicht abgeholt. Danke für umgehende Nachsorge,2020,6,0.3907407407407407
24898,2020-06-11 00:09:27,2020-06-11 08:47:02,2682714,1247813,Strasse/Trottoir/Platz,external,Strassenschilder sind verdrület. Versuch sälber zu korrigieren: zu fest fixiert.,2020,6,0.35943287037037036
24899,2020-06-11 07:11:29,2020-06-12 15:57:55,2683339,1243246,Beleuchtung/Uhren,fixed - council,"Lampe am Grenzsteig von Effeu überwuchert, Gras hängt in den Weg und Velos liegen seit Tagen im Grün. Ev. gestohlen? Danke Karin Jaeger",2020,6,1.3655787037037037
24900,2020-06-11 07:14:24,2020-06-12 15:57:31,2683351,1243235,Beleuchtung/Uhren,fixed - council,Lampe überwuchert,2020,6,1.3632754629629629
24901,2020-06-11 08:20:45,2020-06-11 08:44:41,2684898,1245248,Signalisation/Lichtsignal,fixed - council,Grafitti und Aufkleber befinden auf an einem Verkehrsspiegel neben der Einfahrt der Zollikerstrasse 178.,2020,6,0.01662037037037037
24902,2020-06-11 08:25:13,2020-06-26 08:44:21,2684682,1245386,Graffiti,fixed - council,"Mehrere Container mit der Aufschrift ""Stadt Zürich Tiefbauamt"" sind beschmiert.",2020,6,15.013287037037037
24903,2020-06-11 08:28:16,2020-06-11 08:51:50,2684626,1245443,Signalisation/Lichtsignal,fixed - council,Kurz vor der Ecke Gärtnerstrasse/Wilbachstrasse ist ein Strassenschild beschmiert.,2020,6,0.01636574074074074
24904,2020-06-11 09:32:57,2020-06-11 15:08:14,2679148,1247865,Abfall/Sammelstelle,fixed - council,"Gestern beobachtete ich, wie 2 Angestellte/ Arbeiter beim brunnen (alte mühle albisrieden) ordnung machten. Dabei sammelten sie plastikspielzeug (grössere lastwagen, schaufeln u.ä.) das herumlag, ein und steckten es in einen schwarzen plastiksack. Ich verstehe, dass sie ordnung machen mussten, finde es aber bedauerlich, dass mehrheitlich intaktes spielzeug (möglicherweise) im abfall landete. Ich hatte gesehen, dass das spielzeug schon einige tage dort lag. In kurzer distanz befindet sich ein kindergarten und -hort. Ich verstehe das dilemma, möchte einfacj diese rückmeldung machen. Besten dank.",2020,6,0.23283564814814814
24905,2020-06-11 09:40:35,2020-06-12 08:38:53,2684823,1249058,Grünflächen/Spielplätze,fixed - council,Schmierereien beim Waldhüsli,2020,6,0.9571527777777777
24906,2020-06-11 15:25:51,2020-07-10 09:19:11,2682553,1246887,Graffiti,fixed - council,Eine von mehreren der unsäglichen Schmierereien für den FCZ,2020,6,28.74537037037037
24907,2020-06-11 17:02:02,2020-06-12 08:11:38,2678882,1250976,Abfall/Sammelstelle,fixed - council,"Tote, fette Ratte seit mind. Montag dort, Da ich keine Handschuhe dabei habe kann ich sie nicht wegwerfen. Vielleicht will man auch noch prüfen, woran sie gestorben ist, falls Gift oder so im Spiel war",2020,6,0.6316666666666667
24908,2020-06-11 17:09:23,2020-06-15 12:50:02,2686263,1246263,Grünflächen/Spielplätze,fixed - council,Regenrinne voll Kies,2020,6,3.8198958333333333
24911,2020-06-11 17:18:52,2020-06-12 08:18:29,2680039,1247413,Abfall/Sammelstelle,fixed - council,Immer noch stehen die Matratze und das Sofa an der vor 3 Wochen gemeldeten Stelle! Seit heute morgen sind noch 2 Sofas und ein Sessel dazugekommen!,2020,6,0.6247337962962963
24912,2020-06-11 17:27:58,2020-06-11 20:13:41,2682111,1250555,Schädlinge,fixed - council,Viele Tigermücke beim Käferberg,2020,6,0.11508101851851851
24913,2020-06-11 19:07:04,2020-06-12 13:55:35,2684410,1247942,Grünflächen/Spielplätze,fixed - council,"Es fehlt die oberste Latte der rechtesten Parkbank im Eck vor der Kirche Fluntern, was das Sitzen etwas unangenehm macht.",2020,6,0.7836921296296296
24914,2020-06-11 19:36:38,2020-06-11 20:16:27,2678830,1248430,Schädlinge,fixed - council,"Mögliche tigermücke..? Kleiner als 5 Rappenstk.,Tagsüber gesehen, 5 weisse Ringe an den Hinterbeinen",2020,6,0.027650462962962963
24915,2020-06-11 19:49:01,2020-06-12 07:29:47,2680074,1250597,Signalisation/Lichtsignal,fixed - council,Tafel wurde halb umgedrückt.,2020,6,0.4866435185185185
24916,2020-06-11 22:01:32,2020-06-12 12:46:44,2681434,1246244,Strasse/Trottoir/Platz,fixed - council,"Böses Schlagloch. Mit losem Betonbrocken, der sich auch schon mal aufstellt, wenn ein Auto drüberfährt. Bitte lassen Sie den Brocken baldmöglichst temporär mit etwas Zement fixieren, bevor ein Unfall passiert.",2020,6,0.6147222222222222
24917,2020-06-11 22:59:46,2020-06-12 08:21:17,2681885,1247806,Abfall/Sammelstelle,fixed - council,Grosses Sofa,2020,6,0.38994212962962965
24918,2020-06-11 23:00:40,2020-06-12 08:22:51,2681793,1247925,Abfall/Sammelstelle,fixed - council,Metall- und Elektroschrott,2020,6,0.3904050925925926
24919,2020-06-11 23:02:33,2020-06-12 08:30:48,2681864,1247862,Abfall/Sammelstelle,fixed - council,Metallteile,2020,6,0.39461805555555557
24920,2020-06-11 23:03:20,2020-06-12 08:32:45,2681837,1247903,Abfall/Sammelstelle,fixed - council,Schrankteile,2020,6,0.39542824074074073
24921,2020-06-11 23:22:34,2020-06-12 08:34:32,2681628,1247979,Abfall/Sammelstelle,fixed - council,Möbel,2020,6,0.38331018518518517
24923,2020-06-12 08:03:56,2020-06-12 08:38:01,2682731,1247576,Abfall/Sammelstelle,fixed - council,E Scooter im Wasser,2020,6,0.023668981481481482
24924,2020-06-12 09:31:42,2020-06-12 10:34:26,2683690,1252185,Abfall/Sammelstelle,fixed - council,Müllhalde auf Trottoir,2020,6,0.04356481481481481
24925,2020-06-12 09:54:42,2020-06-12 10:10:40,2680912,1250006,Signalisation/Lichtsignal,fixed - council,Spiegel ist bis zur Hälfte nicht mehr sichtbar. So sieht man Velofahrer nicht mehr auf der Strasse beim rausfahren aus der Garage. Er wurde jetzt gerichtet aber die Sicht ist leider immer noch schlecht. Danke fürs ersetzen.,2020,6,0.011087962962962963
24926,2020-06-12 11:11:06,2020-06-16 15:49:05,2681867,1244138,Grünflächen/Spielplätze,fixed - council,"Guten Tag Immer wieder parkieren Autos auf der Naturwiese Höhe ""Im Hummel 8 - 14"" in 8038 Zürich. Kann man dagegen etwas unternehmen? Vielen Dank & freundliche Grüße",2020,6,4.193043981481481
24927,2020-06-12 11:14:58,2020-06-12 12:56:08,2680919,1247132,Signalisation/Lichtsignal,fixed - council,"Die zwei direkt aufeinanderfolgenden Fussgängerampeln sind nicht synchrongeschaltet. Am Freitag den 5.6.2020 habe ich beobachtet, wie ein Fussgänger beinahe von einem Bus erfasst wurde, weil er bei grün losging und nicht merkte, dass de zweite Ampel noch rot war. <br/>  <br/> Solche gegährlichen Situationen gibt es in der Stadt Zürich zurzeit viele, beispielsweise auch hier: — Seebahnstrasse, Höhe Zweierstrasse 100 — Pfingstweidstrasse, Höhe Toni-Areal — Manessestrasse, Höhe Weststrasse <br/>  <br/> In letzteren beiden Fällen gelten die Ampeln auch für Velos, und die Verkehrsinseln sind beiderorts viel zu klein für ein Velo mit Anhänger! <br/>  <br/> Bitte derartige zusammenhängenden Ampeln generell synchron schalten! Der Fuss- und Veloverkehr sollte in Zürich ja eigentlich gefördert werden. Und Stau auf den Strassen gibt es so oder so. <br/>  <br/> Vielen Dank!",2020,6,0.07025462962962963
24928,2020-06-12 11:24:13,2020-06-12 15:26:18,2683982,1248846,Abfall/Sammelstelle,fixed - council,"Autounfall, Scherben auf der Strasse",2020,6,0.16811342592592593
24929,2020-06-12 15:38:24,2020-06-12 15:43:31,2682103,1247169,Signalisation/Lichtsignal,fixed - council,Die Verbotene Einfahrt Signalisation ist um 180 Grad verdreht,2020,6,0.003553240740740741
24930,2020-06-12 16:41:05,2020-06-12 17:11:03,2679169,1249139,Schädlinge,fixed - council,Im Neumarkt Altstetten gibt es immer wieder über den Sommer Mücken die ziemlich nervig sind. Hier wurde ich letztes Jahr sogar fündig einer Tigermücke. Nun heute (12.6.20) zum ersten Mal ein Insekt dieser Grösse entdeckt. Normalerweise sind im Gebäude gewöhnlich immer wieder kleinere Mücken vorhanden. <br/>  <br/> Dem Insekt fehlt jedoch ein Bein und die Mücke ist tot.,2020,6,0.020810185185185185
24932,2020-06-12 17:17:29,2020-06-12 20:43:50,2680958,1247389,Schädlinge,fixed - council,"Tigermücke in unserer Wohnung entdeckt, nachdem wir viele und sehr entzündete Stiche bekamen.",2020,6,0.1432986111111111
24933,2020-06-12 23:20:30,2020-06-15 12:28:29,2682090,1249061,Beleuchtung/Uhren,fixed - council,"Zwei kapputte Strassenlaternen! Eine direkt über der Kreuzung Heinrich- Ottostrasse, die zweite zwischen Hauseingang Ottostrasse 5 und 7! <br/>  <br/> Beides freihängende Lampen, daher keine Mastnummer vorhanden",2020,6,2.5472106481481482
24934,2020-06-13 08:29:53,2020-06-15 09:47:02,2680803,1248213,Allgemein,external,"Grüezi, <br/>  <br/> Immer das gleiche an den Wochenenden. Polizei sollte auch mehr vorbei sehen. <br/>  <br/> Lg <br/> ",2020,6,2.0535763888888887
24935,2020-06-13 11:53:17,2020-06-15 10:42:02,2683546,1248943,Allgemein,external,Liebee Team <br/>  <br/> Seit ca 2 Wochen steht dieses Autöli ohne ‚Kofferraumdeckel‘ an dieser Stelle. Es scheint nicht mehr fahrtüchtig zu sein. <br/>  <br/> Ich grüsse Sie herzlich <br/>  <br/> Brigitte Schneider,2020,6,1.9505208333333333
24936,2020-06-13 12:20:13,2020-06-29 17:25:17,2683143,1247828,Graffiti,fixed - council,Bahnhofstrasse 76 tallyweijl,2020,6,16.21185185185185
24937,2020-06-13 13:30:20,2020-06-15 10:26:03,2678841,1249406,Strasse/Trottoir/Platz,fixed - council,Ein Loch,2020,6,1.872025462962963
24938,2020-06-13 14:56:22,2020-06-24 09:19:45,2685504,1246312,Strasse/Trottoir/Platz,fixed - council,Dolendeckel fehlt. Durch Ahnwohner gesichert.,2020,6,10.766238425925925
24939,2020-06-13 16:47:28,2020-06-18 10:37:02,2682319,1250276,Grünflächen/Spielplätze,external,Schutthaufen areal waid,2020,6,4.74275462962963
24940,2020-06-13 17:04:05,2020-06-15 08:35:01,2683964,1251297,Abfall/Sammelstelle,fixed - council,"Illegale Entsorgung von ""Karton"" mit Plastik. Wurde bei der letzten Sammlung (korrekterweise) nicht mitgenommen.",2020,6,1.6464814814814814
24941,2020-06-13 17:26:32,2020-06-17 08:23:05,2683795,1248071,Abfall/Sammelstelle,fixed - council,"Seit einiger Zeit ZWEI stark verklebte Masten auf ÖFFENTLICHEM städtischem Gebiet (Gehsteig, Foto) -> BITTE Klebereien entfernen und Mast wieder sauber grau streichen. . Vielen Dank für Ihre wichtige, sehr gute Arbeit zu Gunsten von Zürich wie Neu und uns Steuerzahlern. Mit freundlichen Grüssen",2020,6,3.6226041666666666
25002,2020-06-17 13:10:43,2020-06-23 14:02:05,2678184,1249655,VBZ/ÖV,fixed - council,Dach ist undicht bei tramhaltestelle micafil,2020,6,6.035671296296297
24942,2020-06-13 18:52:17,2020-06-15 08:36:51,2684204,1246725,Abfall/Sammelstelle,fixed - council,"Überfüllte abfalleimer, voller sack-Entsorgungsbehälter, personen lassen abfall liegen und dies führt zu weiterem abfall, der liegen gelassen und bei böen davongewindet und im quartier verteilt wird",2020,6,1.5726157407407408
24943,2020-06-13 19:36:26,2020-06-16 10:56:53,2682965,1251702,Strasse/Trottoir/Platz,fixed - council,Loch auf Gehsteig neben Elektrokasten,2020,6,2.639201388888889
24944,2020-06-13 20:23:01,2020-06-15 08:54:34,2682763,1243803,Abfall/Sammelstelle,fixed - council,"Kaputtes Velo, Logo ZKB, liegt auf dem schmalen Erdbrustweg.. Bitte abholen, bevor es jemand in die Kuhweide wirft, danke!",2020,6,1.5219097222222222
24945,2020-06-13 21:23:17,2020-06-16 09:50:19,2680633,1248074,Strasse/Trottoir/Platz,fixed - council,Gebrochen. Mögliche Unfall,2020,6,2.5187731481481483
24946,2020-06-14 07:16:03,2020-06-16 10:18:13,2683076,1247992,Brunnen/Hydranten,fixed - council,Schaum im Brunnen,2020,6,2.1265046296296295
24947,2020-06-14 07:54:57,2020-06-30 09:08:54,2681468,1251072,Grünflächen/Spielplätze,fixed - council,Bauschutt: unveränderter Zustand <br/> ,2020,6,16.051354166666666
24948,2020-06-14 07:58:48,2020-06-15 15:12:36,2678899,1247591,Grünflächen/Spielplätze,fixed - council,Vor den Brunnen an Ecke Pünt- / Albisriederstrasse ist die Pflästerung defekt.,2020,6,1.30125
24949,2020-06-14 10:42:59,2020-06-18 10:42:34,2680926,1253931,Grünflächen/Spielplätze,fixed - council,Regelmässig überfüllter Abfalleimer,2020,6,3.9997106481481484
24950,2020-06-14 10:44:51,2020-06-15 09:52:02,2680417,1253166,Allgemein,external,Herrenloses Velo,2020,6,0.9633217592592592
24951,2020-06-14 11:08:18,2020-06-15 09:00:55,2682836,1253378,Abfall/Sammelstelle,fixed - council,Dieser Platz wurde schon mehrmals in den Medien gezeigt. Erfolg = Null,2020,6,0.9115393518518519
24952,2020-06-14 12:29:56,2020-06-15 09:47:02,2685165,1246742,Allgemein,external,Beim wendeplatz jupitersteig 6 über dem werkhof steht seit langem dieses emofa. es scheint verlassen/gestohlen/entsorgt worden zu sein,2020,6,0.886875
24953,2020-06-14 13:53:57,2020-06-15 09:11:08,2683781,1251672,Abfall/Sammelstelle,fixed - council,Alte Möbelteile,2020,6,0.803599537037037
24954,2020-06-14 14:13:51,2020-06-16 15:53:00,2683909,1250382,Grünflächen/Spielplätze,fixed - council,"Ich weiss, die Grillstelle soll nicht genutzt werden, trotzdem sammelt sich leider Müll an.",2020,6,2.0688541666666667
24955,2020-06-14 14:19:42,2020-06-15 13:58:37,2683749,1250888,Signalisation/Lichtsignal,fixed - council,"Mein Lob für die neue, inzwischen gut angenomme Radspur, die an der Zusammenführung von Schaffhauserstrasse und Bülachstrase radfahrenden Personen das Leben leichter macht. Leider verursacht die Zusammenführung für die Autofahrenden immer noch Probleme...",2020,6,0.9853587962962963
24956,2020-06-14 14:42:39,2020-06-15 12:52:29,2681833,1248134,Grünflächen/Spielplätze,fixed - council,Baum hat weisse Schicht auf Blättern. Mehltau oder ähnlich?,2020,6,0.9234953703703703
24957,2020-06-14 15:20:42,2020-06-15 14:47:02,2684832,1247365,Allgemein,external,"Ein Baukabel hängt gefährlich tief über den Weg. Die Aufhängung ist kaputt, so dass das Kabel jetzt runterhängt.",2020,6,0.9766203703703704
24958,2020-06-14 18:40:05,2020-06-15 12:55:48,2687032,1250705,Grünflächen/Spielplätze,fixed - council,Stufe bei Rutschbahn angebrochen Seil defekt,2020,6,0.7609143518518519
24959,2020-06-14 19:11:50,2020-06-15 10:12:02,2683528,1248830,Allgemein,external,"Steht seit zwei Tagen hier, mitten auf dem Trottoir bzw. Fussgängerstreifen.",2020,6,0.6251388888888889
24960,2020-06-14 19:11:54,2020-06-19 10:43:31,2681670,1250432,Signalisation/Lichtsignal,fixed - council,"Fussgängerhindernis <br/>  <br/> Was soll dieses dämliche ""50 generell""-Signal auf dem Trottoir? Die ganze Emil-Klöti-Strasse liegt innerorts, es gilt ohnehin Tempo 50 (Art. 4a Abs. 1 lit. a VRV). Wenn die Höchstgeschwindigkeit hier nicht eingehalten wird, soll die Stadt Geschwindigkeitskontrollen durchführen. <br/>  <br/> Im aktuellen Zustand ist das Signal (und auch das ""Verkehrsdienst""-Dreieck) Hindernis und Schikane für die Fussgänger. <br/>  <br/> Art. 105 Abs. 2 SSV: ""Die Behörde lässt unnötige Signale entfernen, beschädigte ersetzen und sorgt für rechtzeitiges Erneuern der Markierungen. Signale, die ohne Bewilligung angebracht wurden, werden auf Kosten des Pflichtigen entfernt.""",2020,6,4.646956018518519
24961,2020-06-14 19:29:08,2020-06-30 09:54:38,2680165,1251954,Grünflächen/Spielplätze,fixed - council,Ast abgebrochen,2020,6,15.601041666666667
24962,2020-06-14 20:03:48,2020-06-15 09:39:23,2682421,1249816,Abfall/Sammelstelle,fixed - council,Abfall seit Wochen illegal abgestellt. Und das nicht zum ersten Mal!,2020,6,0.5663773148148148
24963,2020-06-14 21:37:37,2020-06-22 08:34:30,2684425,1247105,Grünflächen/Spielplätze,fixed - council,Grüezi leider ein wenig Zuviel Unkraut ... Falls man die blauer Dinger wegmacht und ersetzt mit Rondellen wildplflanze macht es Sinn Keiner benutzt dieser Seite.,2020,6,7.456168981481482
25037,2020-06-20 17:10:35,2020-06-22 09:20:44,2682040,1248247,Abfall/Sammelstelle,fixed - council,Veloschrott,2020,6,1.6737152777777777
24964,2020-06-14 21:45:41,2020-06-15 09:47:04,2683691,1252189,Abfall/Sammelstelle,fixed - council,"Ca. Alle 3 wochen, nachdem die Müllabfuhr den Müll abgeholt hat, werden wieder neue Abgälle abgstellt. Kein Durchkommen mit Kinderwagen mehr auf dem Trottvoir.",2020,6,0.5009606481481481
24965,2020-06-14 23:44:00,2020-06-15 10:07:01,2682537,1248635,Allgemein,external,"Bitte Büsche wiedermal zurückschneiden oder als Variante bei den Pfosten je einen der indirekt subventionierten Parkplätze aufheben. <br/>  <br/> Das Durchkommen mit dem Velo ist aktuell markant erschwert bei beiden Pfostenreihen, wenn noch Leute zu Fuss unterwegs sind und den mittleren Durchgang wählen. Auf der Karte sind die beide Problemzonen gut sichtbar mit grünen Büschen, die auf die Strasse lampen. Danke",2020,6,0.43265046296296295
24966,2020-06-14 23:54:07,2020-06-15 09:59:28,2683576,1246923,Strasse/Trottoir/Platz,fixed - council,"Die sexistisch tiefergestellten Sonnenschirme auf Seite Torgasse ragen auf den öffentliche Grund, so dass man sich als normalgrosser Mann am Kopf verletzen kann, wenn man mit Blindenstock unterwegs ist oder aber in Gedanken versunken.... Auf der Seite des Limmatquais sind die Sonnenschirme markant höher, so dass sich nur ganz grosse Personen den Kopf anschlagen können. Ich wollte letzte Woche direkt mit dem Chef vom Odeon sprechen und ihn drauf ansprechen, aber der war grad sehr beschäftigt.",2020,6,0.42038194444444443
24967,2020-06-15 10:56:54,2020-06-15 12:50:13,2682287,1244888,Abfall/Sammelstelle,fixed - council,Hundekot gegenüber Thujastrasse 6 <br/>  <br/> Vor einigen Tagen auch schon auf dem Fussweg Richtung Muggenbühl in der Nähe -- falls ich mich richtig erinnere (nicht gemeldet),2020,6,0.07869212962962963
24968,2020-06-15 12:08:55,2020-06-15 12:57:22,2686636,1250295,Abfall/Sammelstelle,fixed - council,Seit Wochen steht neben dem offiziellen Abfallbehälter (Hai) ein IKEA-Einkaufswagen. Zurzeit ist er umgefallen und liegt im Bord gegen den Leimbach.,2020,6,0.03364583333333333
24969,2020-06-15 12:15:39,2020-06-25 10:36:34,2686416,1250057,Grünflächen/Spielplätze,fixed - council,In diesem Waldstück hat es eine grosse Feuerstelle. Seit 3 Wochen liegt dort in unmittelbarer Nähe viel liegengelassener Abfall von Personen die dort grilliert haben.,2020,6,9.931192129629629
24970,2020-06-15 12:17:40,2020-06-16 11:09:49,2682822,1243568,Abfall/Sammelstelle,fixed - council,Bitte leeren. Danke!,2020,6,0.9528819444444444
24979,2020-06-15 19:10:56,2020-06-16 16:44:05,2682421,1247062,Signalisation/Lichtsignal,fixed - council,"Der Spiegel vor der Unterführung ist wiedermal unsichtbar sobald er sichtbar war, stellte ich fest, dass er unbrauchbar war, weil beklebt etc. <br/>  <br/> Danke fürs wieder hervorzaubern :) <br/>  <br/> P.S. Diese Stelle wird ja durch die Stadt regelmässig gereinigt. Weshalb gehört das Melden von defekter Infrastruktur wie z.B. dieser Spiegel nicht auch zum Aufgabenbereich? Das mit dem Überwuchern passiert ja nicht von heute auf morgen und dass da immer wieder FCZ-Kleber drankleben, ist auch nichts neues...",2020,6,0.8980208333333334
24971,2020-06-15 12:30:06,2020-06-24 10:12:01,2683575,1246921,Allgemein,external,"Mit der lapidaren Antwort zum Fall der tiefergestellten Sonnenschirme unter https://www.zueriwieneu.ch/report/24966 bin ich absolut nicht einverstanden: ""Der von Ihnen gemeldete Sachverhalt muss direkt mit dem Pächter geklärt werden. Bitte kontaktieren Sie direkt den Eigentümer. "" <br/>  <br/> Zürich kennt klare Regeln bezüglich Boulevardcafes, der Odeon-Chef nahm sich während der 10 Minuten, welche ich geduldig wartete, keine Zeit und nun soll ich dort nochmals warten gehen, damit sich andere den Kopf nicht anschlagen? Wie schräg ist denn das? <br/>  <br/> Die Höhe der Sonnenschirme ist im Leitfaden zu den Boulevardcafes definiert auf Seite 9 beim Punkt 3.2.1 Definition [...] Schirme • maximaler Durchmesser 3 m, Höhe zwischen 2,2 und 3 m und ohne feste Installation bedürfen keiner Baubewilligung https://www.stadt-zuerich.ch/pd/de/index/stadtpolizei_zuerich/bewilligungen_informationen/wirtschaft/boulevardcafe.html <br/>  <br/> Also entweder gibt es eine Bewilligung die Sonnenschirme tiefer zu stellen, so dass die dortige Kopfanschlagquote erfüllt wird oder aber die Sonnenschirme sind illegal tiefergestellt. Das wäre dann wohl ein Fall für die Polizei. <br/>  <br/> Da dies nicht superdringend ist, dünkt mich die Notrufnummer der Polizei nicht die richtigen Ansprechstelle sondern diese Plattform hier. <br/>  <br/> Wenn es nicht möglich sein sollte, dieses Anliegen an die zuständige städtische Stelle weiterzuleiten, dann senden sie mir zumindest die Telefonnummer der zuständigen Stelle zu. Danke",2020,6,8.904108796296295
24972,2020-06-15 13:25:39,2020-06-15 16:15:16,2682464,1247973,Abfall/Sammelstelle,fixed - council,"Zeughaushof zwischen Kunsthaus Walcheturm und Sommergarten vergammelt immer mehr seit der alte Messwagen zu irgendeinem Freiraum umfunktioniert wurde. Oft bis in alle Nacht laute Musik und am anderen Morgen eine Riesensauerei mit leeren Flaschen, Büchsen und Sonstigem rundherum verstreut. So geht das rücksichtslose Verhalten nicht weiter und unser schöner Park würde immer mehr versaut. Bis jetzt war immer alles sauber und man hielt sich auch an die Lärmzeiten.",2020,6,0.11778935185185185
24973,2020-06-15 15:52:44,2020-06-16 16:34:30,2680501,1247656,Grünflächen/Spielplätze,fixed - council,Hier gibt es hackenkreuz zeichnungen und neonazi schriftzug auf beiden seiten des tores. tw. mit kleber überklebte schriftzüge,2020,6,1.0290046296296296
24974,2020-06-15 16:22:51,2020-06-26 08:56:53,2678090,1249859,Graffiti,fixed - council,Die Brücke zur Zufahrt hat am unteren Teil mehrere grossflächige Graffiti,2020,6,10.690300925925927
24975,2020-06-15 16:38:08,2020-06-16 08:13:59,2681568,1249669,Abfall/Sammelstelle,fixed - council,Rettungsring im Baum,2020,6,0.6498958333333333
24976,2020-06-15 16:41:59,2020-06-17 07:34:53,2683988,1249025,Strasse/Trottoir/Platz,fixed - council,Das Kopfsteinpflaster auf dem Geissbergweg (nr. 25-27) wurde während einer Straßenarbeit irgendwann im April entfernt und seitdem nicht mehr richtig befestigt. Die Kieselsteine sind instabil und gefährlich für Fahrräder und Kinderwagen.,2020,6,1.6200694444444443
24977,2020-06-15 16:52:19,2020-06-16 08:16:33,2682723,1246984,Abfall/Sammelstelle,fixed - council,"Container permanent auf dem Trottoir. Kein Durchkommen für Kinderwagen, Rollstuhlfahrer etc.",2020,6,0.6418287037037037
24978,2020-06-15 19:08:04,2020-06-16 14:23:07,2682269,1247916,Beleuchtung/Uhren,jurisdiction unk,Durch das Transparent ist die Beleuchtung nicht mehr gut sichtbar,2020,6,0.8021180555555556
25000,2020-06-17 09:11:48,2020-06-18 12:15:41,2681923,1247809,Beleuchtung/Uhren,fixed - council,Schuhe auf Seilleuchte,2020,6,1.1276967592592593
24980,2020-06-15 21:03:31,2020-06-17 07:37:02,2683189,1247640,Strasse/Trottoir/Platz,external,"Skater nutzen die Granit-Sitzplatte permanent zum Skaten (entlang der Kante). Es wäre sehr schade und kostspielig, wenn sie irgendwann abbröckelt. Hier müssten Stopper befestigt werden, die eine weitere Nutzung durch Skater unterbindet.",2020,6,1.4399421296296295
24981,2020-06-15 21:52:54,2020-06-16 15:29:32,2683342,1247136,Graffiti,fixed - council,Illegales graffiti auf historischem werk von diesem abschaum-möchtegern-künstler,2020,6,0.7337731481481482
24982,2020-06-16 08:55:12,2020-06-16 15:19:19,2679218,1248476,Strasse/Trottoir/Platz,fixed - council,"Schlagloch auf der Links-Abbiege-Spur aus Richtung Altstetterstrasse, nach Badenerstrasse. Gleich vor dem Rotlicht",2020,6,0.2667476851851852
24983,2020-06-16 08:56:54,2020-06-16 15:19:58,2679248,1248475,Strasse/Trottoir/Platz,fixed - council,Schlagloch in der Mitte der Kreuzung. Beim links abbiegen (herkommend von Badenerstrasse nach Flurstrasse) rumpelt es jeweils auf der linken Fahrerseite.,2020,6,0.26601851851851854
24984,2020-06-16 08:58:42,2020-06-16 15:20:38,2678985,1247589,Strasse/Trottoir/Platz,fixed - council,"Fahrbahnabsenkung, nach Bushaltestelle. Direkt nach den Betonplatten der Haltestelle Albisrieden (Richtung Triemli) hat sich der Asphalt soweit abgesenkt, dass man durchgeschüttelt wird.",2020,6,0.26523148148148146
