,detail
60075,Möbel
60076,Möbel und Abfall
60079,Möbel
60080,Möbel und Abfall
60081,Kühlschrank
60082,Kindersitz
60083,"Die gemeldete Vitrine steht hier vorne, nicht Ecke Birmensdorferstrasse"
60085,Immer wieder wird der Kleider Container ab der Ecke Neugasse geplündert und es sieht danach so aus wie auf dem Bild. Entweder muss der Container öfters geleert oder aufgehoben werden. Was unternimmt die Stadt dagegen?
60089,Graffiti auf Strassenschild
60090,Elektroschrott steht in der Baumrabatte
60093,Kaputter Stuhl auf Trottoir
60096,"Bushaltestelle Bahnhof Wipkingen, Seite wo die Rousseaustrasse einbiegt: Abfallsammel Container für Altkleider + Schuhe ist erneut überlaufen bzw. von Kleidersäcken rundherum übersäht."
60099,Abfallhaufen
60101,Kinderwagen seit einer woche neben stromkasten
60102,Abfall/ letzte Woche war einer Ihrer Mitarbeiter vor Ort Hat sich den Dreck angeschaut und ist mit seinem Putzwagen weiter gefahren.
60103,Illegal entsorgter Abfall
60107,Seit etwa 2 Wochen steht diese grosse Matraze neben den Briefkästen an der Goldbrunnenstrasse 121. <br/>  <br/> Vielen Dank für das Entsorgen.
60109,Abfall
60115,"Sehr geehrte Damen und Herren, <br/>  <br/> Ich wende mich mit einem Anliegen an Sie, das die Sauberkeit und Hygiene im öffentlichen Raum betrifft. An der Haltestelle Museum für Gestaltung in Zürich sammelt sich unter den Bäumen regelmäßig eine erhebliche Menge an Rabenkot. Dies stellt nicht nur eine erhebliche Beeinträchtigung für Passanten und Fahrgäste dar, sondern birgt auch gesundheitliche Risiken. <br/>  <br/> Besonders betroffen sind die Haltestelle, Sitzbänke und der Gehweg unter den Bäumen. Dies führt dazu, dass Fahrgäste kaum eine Möglichkeit haben, sich dort ohne Belästigung oder Verschmutzung aufzuhalten. Zudem entsteht eine unangenehme Geruchsbelästigung, insbesondere an wärmeren Tagen. <br/>  <br/> Ich bitte Sie daher, geeignete Maßnahmen zu ergreifen, um dieses Problem zu lösen. Mögliche Lösungen könnten eine häufigere Reinigung der betroffenen Bereiche oder präventive Maßnahmen zur Reduzierung der Verschmutzung sein."
60122,Elektro auf Kasten
60126,Seit dem Sonntag 30.3.25 hat es viel Sperrgut vor der Lehenstrasse 44 & 49 und Wunderlistrasse 1. Die ehemaligen Bewohner der Lehenstrasse 49 haben beim Auszug vieles auf die Strasse gestellt.
60131,Das gemeldete und markierte Velo hier ist seit mehr als 4 Monaten hier.
60135,Die Strassenreinigung sollte generell verbessert werden. Besonders um Parkplätze mit Autos sammelt sich Müll.
60136,"Sehr geehrtes Team der Stadt Zürich, ich habe gesehen, dass Sie auf eine frühere Meldung vom 9. März 2025 bezüglich dieses batterielosen und platten Mofas geantwortet haben. Die Regionalwache Wiedikon wurde zwischenzeitlich mit der Suche nach dem Besitzer beauftragt, was erfolglos blieb. Sie bat mich, Sie zu bitten, das Mofa zu entsorgen. Wäre eine Entfernung von der Strasse möglich? Vielen Dank."
60141,Kanalgitter verstopft.
60142,Möbel
60143,2-3 Schrottvelos
60152,Einkaufwage da gelassen
60154,"Abfall, loser Karton"
60159,"Dies ist das dritte Mal, dass dieselbe Person ihren Karton ausserhalb der korrekten Daten abgibt. Sie lässt ihn mehr als 10 Tage bis zur nächsten Kartonsammlung liegen. Tatsächlich bringt sie ihn meist am Donnerstag/Freitag nach dem Tag der Kartonsammlung. Es ist sehr unangenehm, in der Nachbarschaft herumzulaufen und das zu sehen."
60160,Deponierter Abfall. Ist halt billiger als korrekt entsorgen…
60164,Illegal deponiertes Sofa (seit ca. 2 Wochen) an der Ecke Schneebeliweg zu Schneebelistrasse
60166,Stuhl
60172,"Littering im Grosspaket.. Tiefkühltruhe seit Tagen entsorgt auf Trottoir an Buchzelgstrasse !! Tiefbauamt total beeinträchtigt im Arbeiten . Bauarbeiten Kabel Verlegung. Hoffe das wird weitergeleitet an Ordnungshüter Merci, Danke, Grazie"
60174,Zerbrochene Steinplatten
60176,Seit mehr als zwei Monaten ist/wird das Velo hier parkiert… wie lange noch? Mit freundlichen Grüßen Ruth Ghidelli
60178,Illegale Entsorgung in der gesamten Strasse/Gasse
60179,…
60185,Ein grosser Karton wurde hier abgeladen.
60189,Scherben auf Trottoir
60190,"Eine der Veloleichen wurde abgeräumt, die andere steht nach mindestens drei Monaten mit Markierung immer noch hier."
60191,"In der St. Jakobstrasse 53 stehen Kartons vor dem Gebäude, obwohl es keine Abholzeit ist. Dies ist wahrscheinlich gegeben, dass in Nummer 54 haben sie Karton draussen die ganze Zeit."
60192,Papiermüll auf der Brücke am Escher-Wys-Platz.
60195,Elektroschrott
60198,Scooter an der Sihl
60199,Das weisse Strassenschild wurde verunstaltet. Danke viel Mal fürs Reinigen.
60201,Guten tag. ein schöner platz jedoch fehlen leider abfalleimer u d aschenbecher. die nächsten sind zwar nur einige schritte entfernt aber für die besucher zu weit. können sie bitte zusätzliche anbringen?
60210,Irgendwer macht sich in der Blauen Zone seinen Privatparkplatz..
60212,Guten Tag <br/>  <br/> Abfall liegt rum. <br/>  <br/> Beste Grüsse Victorine Strehler
60213,Ist hier seit zwei Wochen.
60214,Illegale entsorgung
60218,Kaputte Glasflaschen mit Glasscherben auf dem Trottoir beim Fussgängerstreifen.
60219,"Dieser Ablauf im Letziweg ist seit einem Jahr vestopft. Nun komme ich endlich mal dazu, dies einmal zu schreiben."
60222,Ablauf verstopft.
60223,Ablauf verstopft.
60224,"Ist es möglich hier mal grössere Mülleimer zu installieren? Ich beobachte das schon länger dass die Mülleimer regelmässig überfüllt sind. Entsprechend liegt auch mehr Müll in der Umgebung/im Schanzengraben. Ich kann mir nicht vorstellen, dass das eine Kostenfrage ist. Klappt am Seeufer ja auch."
60226,Immer dieser Ärger mit dem Graffiti :-(
60227,Matratze
60228,Immer dieser Ärger mit dem Graffiti :-(
60234,Littering
60237,Alle Abfallbehälter auf dem Platz sind bereits jetzt voll und der Abend hat erst gerade begonnen. Vermutlich wären zusätzliche Behälter dienlich.
60238,"Auch hier seltsame Abfallentsorgung auf Trottoir, weiter vorne liegt auch noch ein Sack davon."
60242,Züri WC ist verstopft
60243,Abfall in Baumscheibe
60244,Möbel
60245,Abfall
60246,Abfall
60247,Bügelbrett
60249,"Leider sieht es schon wieder so ""eklig"" aus. Vielen Dank für das Bereinigen."
60252,"... bevor noch mehr Leute ihren Grümpel ""gratis"" entsorgen. Vielen Dank für das Entfernen."
60253,Abfall Karton
60255,Glasscherben von mehreren Flaschen auf Fahrbahn und Trottoir
60256,Es liegt wieder einmal sehr viel Abfall im Hornbach
60258,"Im Rietberg Park treffen sich öfter größere Gruppen (an expats) <br/>  <br/> Für sie ist es dann oftmals getan, wenn man den Müll neben einem überfüllten Kübel legt. <br/>  <br/> Zudem kommen dann die Tiere <br/>  <br/> Es sollte für so etwas Haftstrafen geben."
60259,"Diverse nicht ordnungsgemäss entsorgte Haushaltsgegenstände. Ich wäre sehr dankbar, wenn Sie sie entsorgen könnten. Danke."
60260,Sorry erste Meldung stimmt die Position nicht. Leider schon wieder seltsame Abfallentsorgung auf Trottoir /Strasse
60266,Kinderwagen
60267,Bürostühle
60268,Abfall
60269,Matratze und Kindersitz
60270,Mikrowelle
60271,Abfall
60284,Muell
60285,Unrat auf Troittoir
60286,Abfall quell über
60289,Tote ratte in blauer zone
60290,Mobiliar
60296,Karton am falschen Zeitpunkt!
60297,Abhang im Wald bei Bushaltestelle Schlyfi (stadtauswärts) wird immer als Müllhalde genutzt... Kann man das mal aufräumen (und evt. mal Antilittering-Tafeln aufstellen?)? Vielen Dank.
60299,"Gemeldetes Velo wurde nicht bearbeitet, vergessen"
60306,Littering auf Fussgängerstreifen
60307,Palette
60309,Bett und Matratze
60310,Abfall
60311,Wäscheständer
60312,Abfallsack
60313,Schrottvelo
60314,Velo hier steht immer noch rum
60315,"Liebe Stadt, dieses defekte E-Mofa liegt seit Wochen hier herum und die Teile werden überall verteilt. Unser schönes Wegli ist damit überseht. Bitte entsorgt das Teil. Danke sorgt ihr für Sauberkeit in der Stadt Zürich."
60316,Abfall
60318,Illegale Entsorgung eines Mikrowellengeräts.
60323,"Seit der Abfalleimer entfernt worden ist - ist die Rotachstrasse generell von mehr Abfall überschüttet. Der Abfalleimer ist neu an der Nussbaumstr. aufgestellt worden, aber anscheinend wird dieser nicht so oft genutzt. es ist wirklich schlimm geworden, auch die kleinen Grünflächen bei den Bäumen sind voller Abfall."
60329,Schrottvelo
60338,Schrottvelo
60339,Schrottvelo
60340,Der Bereich der Badi Tiefenbrunnen wird intensiv genutzt und nicht alle Nutzer hinterlassen den Ort im Idealzustand. Freundliche Grüsse 
60341,Ständerlampe
60342,"Leider wurde der letzte Woche gemeldete Sperrmüll abgefackelt, bevor ERZ dem abholen konnte. Bitte schicken Sie noch eine Putzkolonne, die dem versengten Rest wegputzt."
60345,Abfall
60346,"Seit ein paar Tagen hat jemand hier illegal den Abfall entsorgt. Ich glaube, dies ist vom ehemaligen Schrebergarten vis-a-vis. Ich glaub auch, dass jemand im Schrebergarten übernachtet."
60348,Ein Holztisch wurde bei den grünen Containern für Bioabfall abgestellt.
60349,Ein alter verfärbter Bioabfallcontainer wurde neben der groesseren Bioabfalltonne deponiert.
60350,Wild-Abfall
60351,Wild-Abfall
60357,Wiederholt illegale Entsorgung. Problemecke.
60358,Stickstoffoxid gasflasche - Gafahrengut? Direkt auf dem Schulweg / Spielplatz. Bitte entsorgen kommen
60359,"Bitte ""dringend"" Abfalleimer leeren. Alle ""Hunde-Säckli"" die auf dem Boden lagen habe ich bereits aufgelesen und zum nächsten Abfalleimer gebracht."
60360,Beim Dolder-Kunsteisbahn. Besten Dank für das rasche Entfernen.
60362,Tell Tex Station bei Lehenstrasse 65 überfüllt!!!
60363,Möbel illegal entsorgt.
60366,Auslaufendes Fahrzeug
60368,Karton Berge
60369,Stuhl im Fluss
60370,Müll illegal entsorgt.
60371,Guten Tag Stadt Zürich <br/>  <br/> Dieser Abfallkübel ist etwas zu bunt geraten. <br/>  <br/> Grüsse
60372,Styropor
60373,Elektro und Abfall
60374,Matratze
60376,Sperrmüll
60377,Müll versperrt das halbe Trottoir und liegt nun schon seit zwei Wochen so rum.
60379,Abfall beim Brunnen
60386,"Dieser Veloberg besteht schon seit über 2 Jahren. Zudem stehen am Veloständer angekettet einige weitere defekte Fahrräder, ebenfalls seit über 2 Jahren. Bisher scheint sich niemand zuständig zu fühlen..."
60389,Polizei feindliche Propaganda
60391,Littering liegt alles auf dem trottoir
60394,Matratze und Paletten
60395,Riesiger Fleck beim Bahnübergang . Farbe? Seit gestern Abend. Immernoch feucht
60399,Illegale Deponie von Abfall
60400,Defektes Velo
60401,Kaputtes Velo
60406,Abfall
60407,Bügelbrett
60408,Schrottvelo
60409,Illegale Abfallentsorgung
60410,"Seit 6 April da. D’à naechste Papiersammlung erst in einer Woche ist, der Wind wird den Abfall zersteuern."
60413,Wie immer nur noch schlimmer. <br/>  <br/> Vielen Dank!
60414,Es sind in der Tat Wiederholungs‘täter‘. Die Adresse ist Granitweg 2. Es widerholt sich jede Woche. Von meiner Seite setze ich mich für das Quartier ein. Danke!
60415,Sofa
60416,Einkaufswägeli mit Abfall
60417,Palette und Abfall
60418,Elektroscooter
60420,Grosses neues Graffiti. Die FCZ Chaoten lernen es nie. Bitte Kosten der Entfernung dem Club verrechnen.
60422,"Zwei auf öffentlichem Grund entsorgte Velos. (ohne Sattel, platte Reifen, verrostete Ketten etc.)"
60423,Sperrmüll
60427,Sehr viel Abfall neben Bad Utoquai im Wasser
60428,Ständer
60433,Überfüllte Mülleimer
60440,Viele Glasscherben
60443,Illegale Entsorgung von Haushaltsgegenständen
60447,Der Abfalleimer wurde mit einer Hartschaummasse überzogen. Kot und Kottüten liegen herum.
60448,"Abfall, Asche"
60449,Sperrmüll
60450,Sofateile
60451,Abfall liegt hier fast jede Woche :( Vielen Dank fürs aufräumen!
60452,"Diese Stele, eine Erinnerung an schwere Zeiten meiner Heimatstadt, würde sich sicher über einen liebevollen Kärchereinsatz freuen."
60454,Illegale Entsorgung (Bett).
60460,"Guten Tag, entlang der Dufourstrasse, insbesondere zwischen den Hausnummern 177 bis 189 (8008 Zürich), befinden sich an mehreren Stellen Karton, Papier und Flaschen auf dem Trottoir. <br/>  <br/> Leider ist dies nicht das erste Mal. Es hat sich offenbar zur Gewohnheit entwickelt, dass Anwohnende ihre Abfälle bereits mehrere Tage vor der offiziellen Karton- oder Papiersammlung hinausstellen. <br/>  <br/> Dies beeinträchtigt das Erscheinungsbild des Quartiers und führt zu einer unnötigen Verschmutzung. <br/>  <br/> Heute habe ich Freunde aus Luxemburg zu Besuch, die nur zum Mittagessen kommen. Es wäre sehr schade, wenn sie aufgrund dieser Situation einen negativen Eindruck von Zürich – und insbesondere von meiner Wohngegend – bekommen würden. <br/>  <br/> Vielen Dank für Ihre Unterstützung."
60462,Guten Tag. Das wiederkehrende Problem mit illegaler Abfallentsorgung (auch ganze Hallwylstrasse/ Schöntalstrasse resp.vermutlich generell überall in der Stadt) entsteht vor allem weil die Container ganzjährig an der Strasse stehen. Ziemlich sicher entspricht das auch nicht den Vorgaben (?). Jedenfalls herzlichen Dank für Ihre kontinuierlichen Bemühungen dem Herr zu werden!!
60465,Überfüllte Mülleimer
60468,Scherben auf Auto-Parkfeld
60469,Überfüllten Abfalleimer gesichtet Samstag 12.4.2025 um 19.15 Uhr.
60474,Der Einfluss des Röschibachs in die Limmat stinkt zum Himmel! Bitte Kanäe reinigen. Dafür gibts keine passende Kategorie in dieser App und ein Foto wär auch wenig aussagekräftig.
60475,Tisch
60476,Weisse Scherben
60479,Waidbergweg ecke Alter Hönggerberg Bitte wiedermal leeren vielen Dank.
60480,Jemand hat Sperrmüll abgeladen
60482,Metallbehälter sind voll
60485,Viel Abfall am Boden wegen dem Fussballspiel.
60486,Abfall auf Kasten
60487,Bäumchen entsorgt
60488,Veloschrott
60489,Paletten
60490,Stühle
60491,Bretter
60492,Schrankteile
60500,Hier räumt offensichtlich in der Nacht jemand die Kleider-/und Schuhsammlung aus und lässt dann alles liegen. Vielleicht könnte man die Abfall/Sammelstelle Video überwachen oder den Zugriff in den Tell-Tex Kasten irgendwie erschweren.
60501,Frei rumliegende Bauteile
60503,"An verschiedenen Stellen im Bachbett befinden sich Plastik- und anderer Müll, der da nicht hingehört."
60513,Matratze
60514,Mottenschrank
60515,Wägeli
60516,Abfall
60517,Mobiliar
60518,Defektes E-Bike
60519,Mobiliar
60520,Sessel
60522,Velo
60523,Schrottvelo
60529,2 Sofas (Bild nicht Original)
60530,"Grüezi, <br/>  <br/> Die Strasse ist sehr stark durch Scherben verschmutzt. Sorry habe keine Foto davon gemacht, als ich dort war! <br/>  <br/> GruZH BM"
60532,Ganzer Inhalt abfall Kübel ausgeleert
60533,Glasscherben
60534,"Es liegt leider viel Abfall im Ligusterwald. Ich wäre dankbar, wenn sich jemand um die Entsorgung kümmern könnte. <br/>  <br/> Besten Dank und freundliche Grüsse"
60537,Müll neben Mülltonne
60538,Müll
60539,Biomüll
60542,Abfall liegt überall herum.
60547,Rahmen
60548,Guten Tag Ca. ab der Sammelstelle an der Etzelstrasse 8038 ZH bis zur Einfahrt in die Tiefgarage hat es auf dem Trottoir und dem Rand der PP einiges an Abfall. Dieser hat sich dann mit dem Wind z. T. auch auf dem Rasen der Liegenschaft und in die Gebüsche zw. PP und Liegenschaft verteilt.
60558,Doppelkinderwagen
60559,Seid Jahren hat es bei diesen Liegenschaften Abfall überfüllten Container kaputten Möbel……. Kann man da nichts machen !
60560,Einkaufswagen abgestellt und stehen gelassen
60563,Zwei Matratzen
60564,Grill
60565,Möbel
60566,Möbelteile
60567,Paletten
60568,Wägeli voll Abfall
60575,Abfall
60576,Abfall
60577,Gummiplatte
60578,Einkaufswägeli
60579,Steht schon länger hier. Stört!
60580,Entsorgung
60585,Lift von Selnau station ist schmutzig und gibt Kaki drin
60587,Bitte das Schrottfahrrad und den Reifen entfernen – sie blockieren die wenigen Veloparkplätze. Vielen Dank!
60589,"Liebe Stadt, <br/>  <br/> An diesem Verkehrspiegel, klebt ein Kleber, der betrachten irritiert. Respektive etwas vom Verkehr ablenkt. Kann auch die Sicherheit etwas einschränken. <br/>  <br/> Vielen Dank für das entfernen des Klebers! <br/>  <br/> Mit freundlichen Gruss"
60590,"Zweites Mal: dieser Spiegel ist in der Unterführung Vulkanstrasse, Planzer und damit sehr wohl öffentlicher Grund. Bitte die Bescchreibung auch lesen. Siehe auch https://www.zueriwieneu.ch/report/67731"
60595,Abfall
60606,Matratze liegt auf Trottoir
60607,Kot an Hai geschmiert
60608,Siehe Abfall auf Bild. Vielen Dank
60611,Es wird immer wieder Abfall abgeladen
60612,Illegal entsorgter abfall und einkaufswagen wäre es möglich hier mal einen müll-detektiv aufzubieten? fast jede woche wird hier sperrgut illegal entsorgt und die mieter müssen die kosten tragen!
60614,"Altglas- und Metallcontainer ist sehr voll, sollte dringend ausgetauscht werden"
60616,Abfallkübel fehlt.
60619,Schrottvelo
60626,Asthaufen
60627,Abfallkübel fehlt.
60629,"Der Abfall liegt immer noch da, eher entäuschend so!"
60634,Jemand hat hier sein Sperrgut abgestellt. Bitte entsorgen. Danke.
60635,Loser Abfall
60640,Zum wiederholten Male haben die Entsorgungsmitarbeiter die Entsorgungsstelle nach der Abholung der Kartonabfälle so verlasen! Danke für die Reinigung vor Ostern
60644,Illegale Abfallentsorgung.
60645,Schrottvelo
60646,Hier hat es seit rund zwei Wochen einen Scherbenhaufen.
60649,"Viele haben wohl nicht daran gedacht, dass am Karfreitag keine Kartonsammlung stattfindet."
60651,Abfallkübel
60653,Tisch
60656,Gulli verstopft
60658,Verschiedene zurückgelassen Velos
60660,Dreckige Bahnhofsunterführung. Wann wird hier gereinigt?
60661,Div Schilder ziemlich bestckert
60662,Glasscherben
60667,Sessel und Mobiliar
60669,Entsorgte Matratze und weiterer Abfall
60670,Matratze und zwei Holzpalette wurden entsorgt im Durchgang
60672,Steht schon seit einigen Tagen hier.
60673,Neue küche wurde für das haus engelstrasse 64 bestellt und die holz verpackung steht seit tagen vor der türe
60674,"Altes Sofateil aus Stoff, schwarz-grau, entsorgt auf dem Trottoir an der Nordstrasse, ca. Höhe Nordstr. 247, aber auf der anderen Strassenseite = Seite Kirche Guthirt, Kirchen-Parkplatzseite, bei Einfahrt ""Guthirtstrasse""."
60679,Defektes Velo
60681,Stuhl
60682,Ständer
60683,Abfallhaufen
60684,Fernseher
60685,Leuchtlampen und Stiel
60686,"Mal abgesehen vom vielen Vandalismus ist die gesamte Oberfläche der Hardbrücke so wie der Bahnhof einfach dreckig wie sau und gehört einmal anständig vollständig gekärchert. Alles ist mit staub, schwarzen Ablagerungen und Kleberesten überzogen. Es sieht furchtbar aus, gerade wenn man über die Hardbrücke zum Hardplatz läuft. Die Kehrmaschinen machen ihren Job gut, reichen aber nicht um den vielen Sichtbeton seitlich zu reinigen. Vermutlich muss man da einfach einmal mir Kärcher, Betonreiniger und Bürste durch. Dies auch als Aufofahrer wenn man vom Kreis 4 kommt. <br/>  <br/> Die Graffitis, Kleberli, Plakate und co werden da zur Nebensache. <br/>  <br/> Gerade ein solcher schäbiger Eindruck zieht halt auch zusätzlichen den Vandalismus an, was dem ganzen nichts nützt."
60689,Sofa im Wald entsorgt
60700,Matratze
60701,Karton mit Abfall
60702,Vergessener Richtungsweiser ist schon lang da
60703,Abfall und Decke
60707,"Erneut ein Hundehaufen auf dem Trottoir. Ist regelmässig der Fall und man müsste prüfen, wer aus dem Haus einen grösseren Hund hat und es nie entsorgt."
60708,Illegal hingestelltes Sperrgut am Anfang der Edelweissstrasse
60710,Einkaufswägeli
60711,Abfallsäcke
60713,Zwei defekte Velos
60714,Kindersitz
60715,Schlauchboot
60716,Möbel
60717,Sack mit Abfall
60721,Müll: wild abgestellte Kiste &Weinregal
60724,Sperrmüll
60726,Vor der Glassammelstelle Scheuchzerstrasse 98 liegen viele Scherben auf der Strasse. Besten Dank.
60730,Kaum offen schon wieder zugemüllt
60734,Matratze/Polsterung auf dem Trottoir vor Wohnhaus abgelegt und teils aufgeschnitten.
60738,Palette
60743,Abfall
60746,Überfüllten Abfalleimer
60749,Unglaublich was hier jede Woche entsorgt wird. Stellt endlich Kameras auf
60750,Kleidercontainer ist wieder einmal voll. Es liegt bereits ein grosser Stapel Kleider davor.
60754,Mobiliar
60756,"Guten Tag Leider wurde in der Nacht vor unserem Haus eine grosse Menge Abfall abgestellt. Die Adresse ist: Luisenstrasse 34, 8005 Zürich. Es passiert leider immer wieder an der selben Stelle und immer in der Nacht. Was soll ich machen? Ich habe schon oft die Polizei gerufen. Die sagen jedoch, dass sie nichts machen können, wenn niemand dabei erwischt wird."
60758,Abfall deponiert
60760,Abfall
60765,Sessel
60767,Schuhmöbel
60768,Abfall
60774,Töff ohne Nummernschilder auf Lev Gehsteig und Abfall!
60778,"Neben den alten Sofa teilen, die ich bereits vor über einem Monat gemeldet habe und nachgefragt habe die Abholung versprochen wurde gesellt sich jetzt weiter Abfall auch in den nächsten Seiten wurde gibt es recht Abfall"
60781,Kaputtes Velo
60782,"Guten Tag Ca. ab der Sammelstelle an der Etzelstrasse 8038 ZH bis zur Einfahrt in die Tiefgarage hat es auf dem Trottoir und v.a. am Rand der PP einiges an Abfall. Eure Antwort war: Entsorgung + Recycling Zürich holt den gemeldeten Abfall bis spätestens am Mittwoch, 16. April ab, damit Sie die Sauberkeit in dieser Stadt geniessen können. Das hat jedoch nicht statt gefunden. Der Strassenrand sollte unbedingt mal wieder gereinigt werden."
60783,Wilder Abfall entsorgung
60786,Abfall häuft sich täglich an!!!
60792,Riesen Haufen. So grusig! Bitte entsorgen!
60793,"So grusig. Können Sie bitte ein Schild aufstellen, dass dieser Weg kein Hunde-WC ist. Danke!"
60794,Illegale Entsorgung
60795,Illegale Entsorgung
60796,Grosse FCZ Schmiererei beim Bahnhof Stettbach. Ich bitte um die Entfernung dieses. Danke.
60797,2 Schrottvelos und ein ausgeschlachteter Solex
60798,Polsterung liegt auf dem Trottoir und wurde bei Abholung des zugehörigen Rests wohl übersehen.
60803,"Aus post von facebookgruppe ""du bisch vo züri-altstette wänn. .."
60804,Illegal entsorgter Abfall
60807,Diverser Abfall
60810,Auf dem Parkplatz vis a vis Fischers Fritz PP Camping Seestrasse hat es oberhalb der Tankstelle zwei illegal deponierte Kehrichtsäcke.
60811,Auf dem PP Seestrasse Camping hinten im Gebüsch sind zwei Kanister und eine Gasflasche sowie weiterer Müll deponiert.
60812,"Hallo, jemand hat illegal eine Matratze vor unserem Haus entsorgt."
60813,Wie immer Karton
60818,Falscher Zeitpunkt
60819,Grosser Karton
60820,Abfall
60822,E-Roller im Schanzengraben
60824,"Auf dem Platz vor dem Bahnhof Altstetten sehen alle Bänke so aus. Da wird sich kaum jemand hinsetzen wollen. Dieser Platz ist ein Schandfleck in Altstetten und der sieht immer so aus. Der Platz sollte anders genutzt werden und die Bänke müssten an einen sauberen Ort versetzt werden, nicht unter diese hohen Bäume voller Krähennester. Viele Leute hätten gern Bänke, aber so... Auch eine Reinigung bringt nur kurz ein anderes Aussehen. Danke, dass sie sich um diesen, von vielen Leuten als ""grusig"" empfundenen Platz, kümmern."
60829,Staubsauger auf Brücke
60831,Container voll
60832,Shopping cart und alter Reifen einfach liegengelassen.
60841,"Am Griesernweg in Wipkingen, aber auch an der Wunderlistrasse sind diverse Säcke mit diversem Abfall deponiert worden in den letzten Tagen."
60843,E-Scooter liegt da in der Ecke (Hab grad kein Bild)
60844,Liegt schon seit Wochen da.
60848,"Guten Tag Ich hoffe, ich bin mit meinem Anliegen bei Ihnen richtig, ich weiss nicht, wo ich es sonst melden soll. Seit 2 Tagen steht an dem besagten Ort ein grösserer Koffer."
60858,Der Schlachthof stinkt seit Wochen nach Kadaver. Ist die Luftreinigungsanlage defekt? Das war die letzten Jahre nicht so.
60867,Musikbox
60872,Es liegt ein Einkauswagen auf der Wiese rum.
60876,"Seit mehreren Wochen liegen nun diese Möbelteile auf dem Trottoir. (Hohensteinweg 16-22) Wenn eine 92-jährige Rentnerin sich in der Woche irrt und 2 dünne Zeitungsbündel auf die Strasse stellt, erhält sie eine Strafe von CHF 270.00. Hier werden weder Verursacher zu Rechenschaft gezogen, noch wird innert ein paar Tagen aufgeräumt. Wer da nicht Staatsverdrossen wird, muss eine dicke Haut haben."
60881,Graffiti und Entsorgung
60884,Falscher Zeitpunkt
60888,Am Strassenrand 1 weisss Bügelbrett seit 4-5 Tagen (Litterung)
60889,Klappbett
60891,"Bei den Abfallcontainern hat jemand alte Möbel und weiteres deponiert, jetzt schon seit ca. 1 Woche dort."
60894,Altes Paar Schuhe
60895,Altes Schloss
60896,Abfall
60898,Nach der Sihlbrücke hatte es wieder 12 leere Bierbüchsen.am Flussbord. !! Ich (79) habe diese Büchsen richtig entsorgt... :-)
60899,Hello
60900,Sessel
60901,"Müll, Koffer mit hauptsächlich Elektroschrott und sonstige Ware, zwei längliche schwarze Möbel (nicht auf den Fotos sichtbar) (sehr wahrscheinlich CD Ständer, Holz, schwarz lackiert), gewisser Müll und gewisse Ware liegt dort schon mehr als zwei Wochen."
60907,Die Foto wurde am Samstag genommen. Illegale Abfall vor dem Gebäude. Das passiert regelmäßig.
60909,Abfall
60910,Gerät
60911,Sessel und Abfall
60912,Lampe
60913,Schrottiges E-Bike
60914,Karton mit Inhalt
60916,"Grill „entsorgt“. Wahrscheinlich zu spät zum mobilen Recycling. Bin am Mittag hier lang gelaufen, da war es noch nicht da."
60920,Speergut an auf dem Gehweg
60924,Abfall illegal. bitte reinigen
60925,Braune Scherben
60926,Weisser stuhl auf dem trottior vom kosmetik studio illegal entsorgt. Das kosmetik studio hat die gleichen möbel im schaufenster. bitte den illegalen abfall wegräumen
60928,Matratze
60929,Bett
60930,2 Kommoden
60931,Tafel
60932,Abfall in Baumscheibe
60933,Es wiederholt sich jede Woche das gleiche Bild! Das abholen des Abfalls ist das eine und das lösen des Problems das andere!! Danke
60937,Danke
60940,Hier liegen gleich zwei Trotinett im Wasser
60945,Blockiertes Trottoire Kein Durkommen für Rollstühle und Kinderwagen
60947,Abfall beim Strasserande!
60951,Karton auf der Strasse gelassen
60952,2 Abfallsäcke liegen im Naturschutzgebiet
60958,Unordentliche Karton Entsorgung. 28.04. ist Papier Entsorgungstag.
60959,Veloleiche
60962,Dieser Betonklotz liegt bei uns auf dem Trott seit drei Wochen. Niemand kümmert sich um die Entsorgung
60969,Sehr viel Dreck noch vom Sechsileuten
60971,Illegal Abfall entsorgt
60972,Kleider-und Schusammlung voll
60974,"So ein schönes Fest, aber der Gehweg ist voller Pferdemist und es stinkt fürchterlich nach Urin. Bitte so schnell wie möglich reinigen!"
60978,Fahruntüchtiges Sperrmüll
60980,"Bitte E-Bike/-Trotti abholen (lassen). <br/>  <br/> Diese Dinger liegen nun schon mitten im Wald und niemand unternimmt etwas dagegen, obwohl sich die meisten Leute (auch junge) sehr darüber ärgern... Auch das ist Umweltverschmutzung! Vielen Dank."
60983,Abfall!!!!
60984,"Glastich, Mobiliar"
60985,Bettrost
60986,Möbel
60987,Salontisch
60988,Abfall
60989,Abfall auf Kasten
60993,"Altmetall/Sperrgut, das aus dem Fluss geholt worden ist (?), wurde bei der Bushaltestelle deponiert. Es handelt sich somit um illegale Müllentsorgung. Bitte abholen, vielen Dank."
60994,"Sperrmüll. Ausserdem viele Dosen etc. am Trottoir bzw. am Strassenrand (nördliche Seite) von etwa Glattstegweg bis etwa Roswiesenstrasse. Empfehlung: Da diese ""Hotspots"" zu sein scheinen, die sich nie wirklich bessern, ist die einzige Lösung scheinbar ein öfteres Kontrollieren und Abfallentsorgen. Danke! :-)"
